post_id	date	num_likes	num_angry	num_shares
211857482296579_1799881646827480	2020-03-02T18:10:04+0000	23791	4	5465
211857482296579_1799608786854766	2020-03-02T13:11:15+0000	102447	126	16028
211857482296579_1799463033536008	2020-03-02T09:53:44+0000	67454	19	4698
211857482296579_1799151220233856	2020-03-02T01:04:59+0000	38204	9	3974
211857482296579_1799079810240997	2020-03-01T23:35:07+0000	31858	13	2466
211857482296579_1798983683583943	2020-03-01T21:25:46+0000	23071	4	4516
211857482296579_1798816063600705	2020-03-01T18:20:40+0000	95505	41	30681
211857482296579_1798784153603896	2020-03-01T17:52:48+0000	74913	24	18785
211857482296579_1798649356950709	2020-03-01T15:32:12+0000	58993	11	8903
211857482296579_1798480043634307	2020-03-01T13:30:45+0000	22802	3	3831
211857482296579_1798467553635556	2020-03-01T12:20:09+0000	33780	12	7531
211857482296579_1798323920316586	2020-03-01T09:13:19+0000	82735	28	26629
211857482296579_1797849937030651	2020-02-29T21:22:30+0000	41444	21	9193
211857482296579_1797820377033607	2020-02-29T21:00:51+0000	135279	20	17730
211857482296579_1797590987056546	2020-02-29T16:45:58+0000	116914	140	26371
211857482296579_1797513927064252	2020-02-29T15:26:41+0000	78863	30	8462
211857482296579_1797395870409391	2020-02-29T13:22:56+0000	40198	9	11983
211857482296579_1797244267091218	2020-02-29T10:23:05+0000	70156	12	7513
211857482296579_1796720673810244	2020-02-28T22:27:57+0000	72192	39	4930
211857482296579_1796554290493549	2020-02-28T19:49:04+0000	92806	351	40460
211857482296579_1796536347162010	2020-02-28T19:34:33+0000	45625	15	5079
211857482296579_1796191327196512	2020-02-28T12:52:54+0000	54729	6	5655
211857482296579_1796055363876775	2020-02-28T10:25:02+0000	79829	50	20445
211857482296579_1796030703879241	2020-02-28T10:04:49+0000	129733	26	21341
211857482296579_183057426328154	2020-02-27T21:57:23+0000	127297	415	21729
211857482296579_1795084000640578	2020-02-27T18:00:29+0000	27026	4	4226
211857482296579_1794975377318107	2020-02-27T16:19:52+0000	149176	46	7461
211857482296579_1794811407334504	2020-02-27T13:16:54+0000	39278	7	3571
211857482296579_1794658187349826	2020-02-27T09:59:58+0000	46281	22	6201
211857482296579_1794097734072538	2020-02-26T21:59:42+0000	36639	24	4816
211857482296579_1794066800742298	2020-02-26T21:39:40+0000	132330	57	17171
211857482296579_1793918790757099	2020-02-26T19:24:07+0000	227448	79	117151
211857482296579_1793887187426926	2020-02-26T18:57:13+0000	77802	34	5378
211857482296579_1793499684132343	2020-02-26T12:39:07+0000	176591	122	14429
211857482296579_1793367687478876	2020-02-26T10:01:28+0000	38158	10	2247
211857482296579_1792972257518419	2020-02-26T00:31:46+0000	55650	96	9784
211857482296579_1792876150861363	2020-02-25T22:51:02+0000	115080	116	58422
211857482296579_1792790624203249	2020-02-25T21:25:20+0000	169454	36	13640
211857482296579_521459745166808	2020-02-25T14:04:48+0000	119468	160	15883
211857482296579_1792273534254958	2020-02-25T13:07:29+0000	202795	56	23256
211857482296579_1792138634268448	2020-02-25T10:45:17+0000	47543	22	6358
211857482296579_1792119520937026	2020-02-25T10:16:51+0000	29203	8	5839
211857482296579_2416224601954510	2020-02-24T23:14:59+0000	38306	32	3835
211857482296579_476264939916848	2020-02-24T22:35:02+0000	58933	55	6561
211857482296579_199309411414917	2020-02-24T19:39:30+0000	43064	53	4170
211857482296579_329560001332085	2020-02-24T19:26:30+0000	36030	24	2209
211857482296579_2927383267283019	2020-02-24T19:22:56+0000	35391	25	3287
211857482296579_492907948065940	2020-02-24T19:20:54+0000	41272	23	1952
211857482296579_203494680763280	2020-02-24T19:16:18+0000	93300	51	7835
211857482296579_1791027257712919	2020-02-24T13:46:46+0000	81500	8	8986
211857482296579_1790820744400237	2020-02-24T09:54:33+0000	69455	3	19021
211857482296579_1790305944451717	2020-02-24T00:57:16+0000	501402	338	71849
211857482296579_1790278211121157	2020-02-24T00:28:53+0000	73383	10	8897
211857482296579_1790170847798560	2020-02-23T22:28:51+0000	69796	32	13077
211857482296579_1790109414471370	2020-02-23T21:23:06+0000	20400	4	2977
211857482296579_491598318391203	2020-02-23T16:41:16+0000	82589	119	13478
211857482296579_1558885894271603	2020-02-23T14:29:49+0000	45094	45	5255
211857482296579_498552957471971	2020-02-23T14:18:47+0000	54208	44	6497
211857482296579_1789242154558096	2020-02-23T04:29:45+0000	230117	184	157325
211857482296579_1789063057909339	2020-02-23T01:20:22+0000	59762	14	8575
211857482296579_1789080457907599	2020-02-23T01:12:13+0000	32424	13	2232
211857482296579_1788848507930794	2020-02-22T20:27:26+0000	37217	13	2193
211857482296579_1788734507942194	2020-02-22T18:08:49+0000	213491	61	27007
211857482296579_635990703883467	2020-02-22T13:57:28+0000	94256	93	13830
211857482296579_183206886321251	2020-02-22T13:33:01+0000	124656	120	20918
211857482296579_2634328336854451	2020-02-22T13:05:43+0000	57620	49	8055
211857482296579_1788309687984676	2020-02-22T11:28:10+0000	52417	20	5389
211857482296579_1787884994693812	2020-02-21T23:37:18+0000	58645	8	5193
211857482296579_1787572194725092	2020-02-21T16:55:53+0000	36533	9	3264
211857482296579_1787287714753540	2020-02-21T12:04:09+0000	78929	30	16353
211857482296579_1787167958098849	2020-02-21T09:55:53+0000	216777	75	37134
211857482296579_262011148120062	2020-02-20T21:55:31+0000	68367	226	13764
211857482296579_1786512408164404	2020-02-20T21:22:27+0000	40835	20086	13008
211857482296579_1786423091506669	2020-02-20T19:18:46+0000	32614	12	3491
211857482296579_1786276618187983	2020-02-20T16:20:11+0000	29639	8	2822
211857482296579_2297475807211688	2020-02-20T13:37:20+0000	41526	46	6517
211857482296579_1786058011543177	2020-02-20T12:30:03+0000	26346	5	2112
211857482296579_1785920068223638	2020-02-20T09:44:06+0000	52516	51	5411
211857482296579_1785580654924246	2020-02-20T00:02:26+0000	49404	27	5886
211857482296579_1785492594933052	2020-02-19T22:04:33+0000	54324	14	8326
211857482296579_1785368031612175	2020-02-19T19:17:08+0000	26157	6	7804
211857482296579_1785259438289701	2020-02-19T16:51:11+0000	32982	6	7321
211857482296579_1785066211642357	2020-02-19T13:33:31+0000	48663	29	13540
211857482296579_1784945358321109	2020-02-19T11:17:19+0000	57667	18	6478
211857482296579_1784449935037318	2020-02-18T23:01:40+0000	74883	13	10212
211857482296579_1784334591715519	2020-02-18T20:27:20+0000	52643	19	3569
211857482296579_1784194025062909	2020-02-18T17:18:38+0000	14810	3	1797
211857482296579_1784076968407948	2020-02-18T15:26:55+0000	27273	128	4423
211857482296579_1784057031743275	2020-02-18T15:14:23+0000	102929	42	13026
211857482296579_1783851561763822	2020-02-18T11:47:49+0000	59298	28	22423
211857482296579_2623988257822828	2020-02-18T10:27:05+0000	44563	68	6463
211857482296579_1783724605109851	2020-02-18T09:45:02+0000	35045	1389	6409
211857482296579_1783654288450216	2020-02-18T07:31:03+0000	27245	16	6449
211857482296579_1783208335161478	2020-02-17T21:58:20+0000	29308	15	2175
211857482296579_1783161351832843	2020-02-17T21:12:33+0000	123002	32	15175
211857482296579_1783045881844390	2020-02-17T19:08:43+0000	129324	313	7568
211857482296579_1782985011850477	2020-02-17T17:57:59+0000	29948	9	3707
211857482296579_1782860928529552	2020-02-17T15:33:16+0000	50984	5	9693
211857482296579_1782643078551337	2020-02-17T11:14:28+0000	66421	7	16316
211857482296579_1782194365262875	2020-02-16T22:42:40+0000	73933	16	24048
211857482296579_1782060021942976	2020-02-16T19:35:03+0000	40058	10	9493
211857482296579_1781959458619699	2020-02-16T17:49:46+0000	36877	9411	19096
211857482296579_1781867918628853	2020-02-16T15:50:14+0000	20867	17	1454
211857482296579_520418995274719	2020-02-16T12:54:41+0000	42361	49	3258
211857482296579_1781568381992140	2020-02-16T10:17:44+0000	22014	7	3828
211857482296579_1781191135363198	2020-02-16T00:48:30+0000	116488	255	17755
211857482296579_1781156148700030	2020-02-16T00:15:19+0000	109575	293	28687
211857482296579_671354140278833	2020-02-15T19:42:26+0000	73909	103	12792
211857482296579_2237787246526434	2020-02-15T15:00:13+0000	38972	43	3857
211857482296579_1780682295414082	2020-02-15T14:04:45+0000	36119	5	3644
211857482296579_1780610432087935	2020-02-15T12:41:45+0000	36176	23	2347
211857482296579_1780212012127777	2020-02-15T01:20:06+0000	42208	15	6925
211857482296579_1780145822134396	2020-02-15T00:06:12+0000	72980	23	6704
211857482296579_1780050992143879	2020-02-14T22:05:41+0000	75428	16	17945
211857482296579_1779707258844919	2020-02-14T14:33:36+0000	47859	13	8522
211857482296579_1779650222183956	2020-02-14T13:34:20+0000	30945	7	2364
211857482296579_1779584915523820	2020-02-14T12:18:34+0000	28490	8	2098
211857482296579_1779471122201866	2020-02-14T09:52:08+0000	36977	8	6356
211857482296579_1271150043096312	2020-02-13T21:54:53+0000	50710	134	7576
211857482296579_1778944768921168	2020-02-13T21:43:17+0000	21146	8	1715
211857482296579_555129455162521	2020-02-13T20:18:03+0000	37180	55	5651
211857482296579_1778825758933069	2020-02-13T19:40:05+0000	56179	32	3496
211857482296579_1778711675611144	2020-02-13T17:09:44+0000	33453	5	10495
211857482296579_1778647258950919	2020-02-13T15:59:44+0000	48603	61	5328
211857482296579_1778452892303689	2020-02-13T12:24:08+0000	162236	2162	48576
211857482296579_1778374448978200	2020-02-13T10:43:23+0000	29749	7	2233
211857482296579_1777888689026776	2020-02-12T21:57:55+0000	154308	25	20399
211857482296579_1777670169048628	2020-02-12T16:53:18+0000	34113	32	3706
211857482296579_1777608912388087	2020-02-12T16:02:05+0000	57527	12	5214
211857482296579_1777427309072914	2020-02-12T12:31:19+0000	52047	11	5437
211857482296579_1777018629113782	2020-02-12T02:30:54+0000	79698	1319	20222
211857482296579_1776797679135877	2020-02-11T21:31:17+0000	65747	14	7340
211857482296579_1776690849146560	2020-02-11T19:05:45+0000	39893	20	3834
211857482296579_1776592989156346	2020-02-11T17:23:07+0000	101549	22	19319
211857482296579_1776264315855880	2020-02-11T11:38:51+0000	211295	17	34839
211857482296579_1775699352579043	2020-02-10T20:33:16+0000	40185	11	6413
211857482296579_1775387769276868	2020-02-10T13:52:02+0000	57501	10	5588
211857482296579_1775238472625131	2020-02-10T11:40:56+0000	128353	54	26818
211857482296579_1775163122632666	2020-02-10T09:52:37+0000	49598	4	12991
211857482296579_1774850119330633	2020-02-10T00:17:34+0000	18958	7	2319
211857482296579_1774722829343362	2020-02-09T21:23:30+0000	28112	17	5316
211857482296579_1774428372706141	2020-02-09T15:03:11+0000	56567	15	6298
211857482296579_1774304956051816	2020-02-09T12:36:08+0000	40986	5	4592
211857482296579_1773912102757768	2020-02-09T02:07:51+0000	58869	348	21983
211857482296579_204731684044059	2020-02-08T20:08:19+0000	109871	150	27039
211857482296579_1773586696123642	2020-02-08T19:26:51+0000	121846	1050	40267
211857482296579_1773519106130401	2020-02-08T18:00:50+0000	17700	4	3688
211857482296579_1773192399496405	2020-02-08T11:43:15+0000	121231	14	20388
211857482296579_1772843102864668	2020-02-08T03:08:33+0000	253538	166	18851
211857482296579_1772687069546938	2020-02-07T23:29:03+0000	31998	37	4326
211857482296579_1772554029560242	2020-02-07T20:47:12+0000	24961	98	3156
211857482296579_188233275750818	2020-02-07T20:42:36+0000	24012	24	1899
211857482296579_214358966273657	2020-02-07T20:31:49+0000	51695	46	5379
211857482296579_1772377906244521	2020-02-07T17:06:20+0000	76731	12	7558
211857482296579_779921815861897	2020-02-07T13:10:43+0000	33175	37	4926
211857482296579_1771973786284933	2020-02-07T09:17:36+0000	108932	4466	123393
211857482296579_1771903062958672	2020-02-07T07:14:27+0000	33622	6	6857
211857482296579_1771636112985367	2020-02-07T00:30:31+0000	110584	14	13215
211857482296579_147829932859519	2020-02-06T21:58:07+0000	74728	192	11448
211857482296579_1771401046342207	2020-02-06T20:13:03+0000	27547	7	1421
211857482296579_1771354949680150	2020-02-06T19:25:15+0000	38471	9	5584
211857482296579_2809050205821637	2020-02-06T17:21:19+0000	43778	89	3462
211857482296579_492426241322466	2020-02-06T11:17:08+0000	50654	104	7400
211857482296579_1770806956401616	2020-02-06T09:43:47+0000	98064	53	10629
211857482296579_1770452113103767	2020-02-05T23:35:04+0000	57357	36	11869
211857482296579_1770210706461241	2020-02-05T18:07:25+0000	48274	8	7566
211857482296579_1770077886474523	2020-02-05T15:45:22+0000	180195	58	9040
211857482296579_1769886649826980	2020-02-05T11:48:46+0000	73823	50	18814
211857482296579_1769827189832926	2020-02-05T10:52:31+0000	57435	14	7940
211857482296579_1769548066527505	2020-02-05T04:33:13+0000	31077	17	6706
211857482296579_1769503219865323	2020-02-05T03:50:34+0000	88866	232	4598
211857482296579_1769431233205855	2020-02-05T02:40:04+0000	41397	60	1711
211857482296579_1769333409882304	2020-02-05T00:25:06+0000	30153	21	1583
211857482296579_1769284899887155	2020-02-04T23:22:07+0000	68098	13	23808
211857482296579_1769072626575049	2020-02-04T17:36:40+0000	39254	12	1843
211857482296579_1768940526588259	2020-02-04T14:37:35+0000	32375	8	4142
211857482296579_1768729696609342	2020-02-04T09:24:32+0000	34691	6	3198
211857482296579_1768174849998160	2020-02-03T18:27:08+0000	196977	55	10264
211857482296579_1768043403344638	2020-02-03T15:54:07+0000	36174	7	3878
211857482296579_1767979180017727	2020-02-03T14:49:10+0000	111167	35	10080
211857482296579_267183487610399	2020-02-03T13:08:43+0000	50406	55	7256
211857482296579_650802822321882	2020-02-03T12:42:11+0000	31345	21	3770
211857482296579_1767774923371486	2020-02-03T10:51:00+0000	24147	10	972
211857482296579_1767572526725059	2020-02-03T04:37:07+0000	67372	24	10945
211857482296579_1767223143426664	2020-02-02T21:30:29+0000	79974	459	9182
211857482296579_1767126640102981	2020-02-02T20:01:51+0000	193864	344	63915
211857482296579_1767008130114832	2020-02-02T17:15:31+0000	57394	19	31746
211857482296579_1766858306796481	2020-02-02T14:32:07+0000	140050	31	26153
211857482296579_1766694043479574	2020-02-02T10:51:46+0000	61878	37	23856
211857482296579_1766240603524918	2020-02-01T21:39:20+0000	16124	8	3715
211857482296579_1765964233552555	2020-02-01T17:03:44+0000	43639	7	5855
211857482296579_1765867223562256	2020-02-01T13:42:44+0000	24132	5	4012
211857482296579_1765416256940686	2020-02-01T01:57:37+0000	59087	45	9666
211857482296579_1765290640286581	2020-01-31T23:20:07+0000	78299	135	3358
211857482296579_607725236439733	2020-01-31T20:18:32+0000	38762	59	3795
211857482296579_1765049866977325	2020-01-31T17:45:00+0000	58359	23	5425
211857482296579_1764690120346633	2020-01-31T10:00:02+0000	45139	20	4989
211857482296579_1764604837021828	2020-01-31T07:44:27+0000	22297	43	3587
211857482296579_1764315927050719	2020-01-31T00:45:38+0000	34477	12	4004
211857482296579_1764184593730519	2020-01-30T21:32:46+0000	45137	14	6637
211857482296579_1764101587072153	2020-01-30T19:42:06+0000	57563	18	6710
211857482296579_1763878353761143	2020-01-30T14:27:13+0000	55616	12	6343
211857482296579_1763683147113997	2020-01-30T10:14:21+0000	59888	39	4248
211857482296579_1762792147203097	2020-01-29T11:26:39+0000	82035	27	14092
211857482296579_1762499227232389	2020-01-29T02:57:29+0000	126773	45	2856
211857482296579_1761910420624603	2020-01-28T12:15:11+0000	66695	37	9407
211857482296579_1761850810630564	2020-01-28T11:03:30+0000	81047	35	6722
211857482296579_1761556043993374	2020-01-28T01:34:27+0000	65974	12	12681
211857482296579_1761306917351620	2020-01-27T20:02:48+0000	307640	57	10689
211857482296579_1760864334062545	2020-01-27T12:06:21+0000	59155	17	3928
211857482296579_1760716680743977	2020-01-27T07:59:20+0000	49227	14	8250
211857482296579_1760536117428700	2020-01-27T02:43:54+0000	121426	14	11787
211857482296579_1760242550791390	2020-01-26T19:20:45+0000	58742	16	8194
211857482296579_1760045620811083	2020-01-26T15:16:28+0000	82494	45	13529
211857482296579_1759764614172517	2020-01-26T09:39:50+0000	73560	11	5802
211857482296579_1759526374196341	2020-01-26T03:21:40+0000	70716	12	14869
211857482296579_1759247857557526	2020-01-25T20:43:12+0000	84049	13	22321
211857482296579_1759018624247116	2020-01-25T16:22:09+0000	88108	307	12828
