post_id	date	message	num_likes	num_angry	num_shares
211857482296579_1823657957783182	2020-03-20T22:45:20+0000	"Ministro Tarc\u00edsio: barreiras de estados colocam em risco o transporte de itens b\u00e1sicos e m\u00e9dicos / A\u00e7\u00f5es atualizadas do Governo em combate ao coronavirus:\n\n- Libera\u00e7\u00e3o de R$450mi p/que institui\u00e7\u00f5es de ensino possam comprar \u00e1lcool em gel e produtos de higiene.\n- Suspens\u00e3o de visitas nos Pres\u00eddios Federais.\n- Recursos financeiros \u00e0 unidades de sa\u00fade das CIDADES de todo Brasil que ampliarem funcionamento.\n- Substitui\u00e7\u00e3o de aulas presenciais por aulas a dist\u00e2ncia.\n- Restri\u00e7\u00e3o \u00e0 entrada de estrangeiros por fronteiras do pa\u00eds.\n\n- Projeto de simplifica\u00e7\u00e3o tempor\u00e1ria de regras trabalhistas.\n- Trabalhador e empregador poder\u00e3o celebrar acordos individuais, respeitados os limites da Constitui\u00e7\u00e3o.\n- Aux\u00edlio emergencial de R$15bi p/trabalhadores informais. \n- R$5bi p/pequenas e microempresas.\n- Facilita\u00e7\u00e3o e renegocia\u00e7\u00e3o de cr\u00e9ditos.\n- Desburocratiza\u00e7\u00e3o p/importa\u00e7\u00e3o de insumos e mat\u00e9ria-prima.\n- Prorroga\u00e7\u00e3o do prazo de pagamento do FGTS, injetando R$ 30bi na economia. \n- Adiamento do pagamento do Simples Nacional, c/economia de R$ 22,2bi p/pequenas e m\u00e9dias empresas. \n- Redu\u00e7\u00e3o de 50% nas contribui\u00e7\u00f5es p/o Sistema S, beneficiando empregadores.\n\n- +5 mil m\u00e9dicos p/refor\u00e7o no combate ao v\u00edrus.\n- Instala\u00e7\u00e3o de mais 2 mil leitos no Brasil p/atendimento a pacientes.\n- Distribui\u00e7\u00e3o de 30 mil kits p/diagn\u00f3stico do coronav\u00edrus.\n- R$432mi p/os estados. \n- Repasse de R$4,5bi do fundo do DPVAT p/combate ao coronav\u00edrus.\n\n- Antecipa\u00e7\u00e3o de parcela do 13\u00b0 de aposentados e pensionistas.\n- Suspens\u00e3o da prova de vida por 120 dias, s/interrup\u00e7\u00e3o dos pagamentos -INSS.\n- Antecipa\u00e7\u00e3o do abono salarial p/junho, injetando R$12,8bi na economia.\n- Inclus\u00e3o de mais 1 milh\u00e3o de pessoas no Bolsa Fam\u00edlia, c/libera\u00e7\u00e3o de R$3,1bi.\n- R$5bi p/pequenas e microempresas.\n\n- Cria\u00e7\u00e3o do Comit\u00ea de Crise p/Supervis\u00e3o e Monitoramento dos Impactos do Covid-19.\n- Cria\u00e7\u00e3o do Comit\u00ea de Especialistas Rede V\u00edrus, p/promover pesquisas relacionadas ao coronav\u00edrus.\n- Libera\u00e7\u00e3o de R$147bi p/reduzir os efeitos do coronav\u00edrus, sendo:\n.R$83,4bi p/a popula\u00e7\u00e3o mais vulner\u00e1vel;\n.R$59,4bi p/manuten\u00e7\u00e3o de empregos;\n.R$5bi no combate \u00e0 pandemia.\n\n- Mais medidas em estudo pelo grupo interministerial.\n\n. Link no youtube: https://youtu.be/llZexpNkPQs"	36696	55	8900
211857482296579_1823512861131025	2020-03-20T20:20:22+0000	"Coletiva ao vivo"	34117	116	3614
211857482296579_1823438294471815	2020-03-20T18:55:59+0000	"https://www.facebook.com/tvbrasilgov/videos/143808610326621/"	15700	55	2073
211857482296579_1823387084476936	2020-03-20T18:07:20+0000	"https://m.facebook.com/story.php?story_fbid=208245787117211&id=133851273405916"	16806	30	2306
211857482296579_1823236217825356	2020-03-20T15:32:31+0000	"- O setor sucroenerg\u00e9tico doar\u00e1 \u00e1lcool para a fabrica\u00e7\u00e3o de gel e solu\u00e7\u00e3o de \u00e1lcool 70 para assepsia de estabelecimentos da rede p\u00fablica de sa\u00fade. A\u00e7\u00e3o conjunta do Minist\u00e9rio da Agricultura, Pecu\u00e1ria e Abastecimento, Uni\u00e3o da Ind\u00fastria de Cana-de-A\u00e7\u00facar (Unica), Minist\u00e9rio da Sa\u00fade e Anvisa .\n\n. Mais boas not\u00edcias anunciadas em breve.\n\n. Minist\u00e9rio da Agricultura, Pecu\u00e1ria e Abastecimento\n. Minist\u00e9rio da Sa\u00fade\n. ANVISA\n\n. Link no youtube: https://youtu.be/m3L7SY6Ozw0"	36271	17	7882
211857482296579_1823100707838907	2020-03-20T13:18:11+0000	"- A\u00e7\u00f5es de preven\u00e7\u00e3o contra coronavirus nos pres\u00eddios FEDERAIS. Visitas sociais suspensas. A amea\u00e7a do coronav\u00edrus n\u00e3o pode ser resolvida abrindo as portas das pris\u00f5es ou deixando de prender quando necess\u00e1rio, pois deixa \u00e0 popula\u00e7\u00e3o vulner\u00e1vel ao crime.\n\n- Assista esta e outras medidas adotadas at\u00e9 ent\u00e3o pelo Minist\u00e9rio da Justi\u00e7a e Seguran\u00e7a P\u00fablica. \n\n. Minist\u00e9rio da Justi\u00e7a e Seguran\u00e7a P\u00fablica (Ministro Moro)\n\n. Link no youtube: https://youtu.be/oMeG-mVgIgY"	32796	33	4415
211857482296579_723735751493984	2020-03-20T11:34:07+0000	"- Conversa com a imprensa agora pela manh\u00e3 no Pal\u00e1cio do Alvorada:\n\n. Link no youtube: https://youtu.be/lb_LPEcUZO8"	74812	346	8333
211857482296579_509554709993434	2020-03-19T22:00:27+0000	"- Live de quinta-feira com o Presidente (19/03/2020).\n\n- Redu\u00e7\u00e3o do pre\u00e7o do g\u00e1s e combust\u00edveis nas refinarias;\n- Atualiza\u00e7\u00e3o sobre o coronavirus;\n- Diminui\u00e7\u00e3o da taxa de juros para aposentados;\n- Voucher para trabalhador informal;\n- Fronteiras e mais.\n\n. Link no youtube: https://youtu.be/hH0JhakIwf0"	150117	769	32736
211857482296579_1822088181273493	2020-03-19T21:21:03+0000	"Mais a\u00e7\u00f5es do Governo Federal, envolvendo o Minist\u00e9rio da Sa\u00fade no enfrentamento do coronav\u00edrus:\n\n1- R$432 milh\u00f5es destinados a estados para refor\u00e7ar a\u00e7\u00f5es contra o Covid19.\n\n2- Distribui\u00e7\u00e3o inicial de dezenas de milhares de kits para identifica\u00e7\u00e3o do v\u00edrus.\n\n3- Recursos financeiros \u00e0 unidades de sa\u00fade das cidades de toda Brasil que fiquem mais tempo em funcionamento.\n\n4- Aprova\u00e7\u00e3o do registros de mais 8 empresas para testes r\u00e1pidos para o coronav\u00edrus.\n\n5- Uni\u00e3o nacional dos Produtores de \u00e1lcool se prop\u00f4s gratuitamente na distribui\u00e7\u00e3o da mat\u00e9ria prima que se fizer necess\u00e1rio para a produ\u00e7\u00e3o de insumos no combate ao coronavirus.\n\n6-  Impostos de importa\u00e7\u00e3o zerados para 67 produtos que v\u00e3o de m\u00e1scaras a \u00e1lcool em gel.\n\n7- Autoriza\u00e7\u00e3o da produ\u00e7\u00e3o de \u00e1lcool em gel nas farm\u00e1cias de manipula\u00e7\u00e3o.\n\n8- Convoca\u00e7\u00e3o de mais de 5.000 m\u00e9dicos.\n\n9- Disponibiliza\u00e7\u00e3o inicial de 2.000 leitos para enfermidades relacionadas.\n\n. Mais informa\u00e7\u00f5es no v\u00eddeo resumido:\n\n. Link no youtube: https://youtu.be/tlz2G5Kf7AI\n\nMinist\u00e9rio da Sa\u00fade"	29686	37	4897
211857482296579_1821788831303428	2020-03-19T16:57:26+0000	"- Para minimizar os impactos do coronav\u00edrus no pa\u00eds e garantir a sa\u00fade da popula\u00e7\u00e3o, temos como miss\u00e3o a circula\u00e7\u00e3o e o abastecimento de insumos, mercadorias e itens b\u00e1sicos em todas as regi\u00f5es.\n\n1- Portos: Prote\u00e7\u00e3o m\u00e1xima para continuidade de opera\u00e7\u00f5es: equipamentos a trabalhadores de campo, afastamento de grupo de risco, escala digital, triagem e restri\u00e7\u00f5es a tripula\u00e7\u00f5es de fora.\n\n2- AVIA\u00c7\u00c3O: Apresentamos MP para garantir minimamente o setor e manter linhas essenciais no abastecimento de rem\u00e9dios, vacinas e insumos.\n\n3- ESTRADAS / CAMINHONEIROS: Monitoramento, orienta\u00e7\u00e3o e indica\u00e7\u00e3o de postos de triagem e equipamentos, assist\u00eancia a profissionais aut\u00f4nomos em grupos de risco. Encaminhamento de proposta de prorroga\u00e7\u00e3o de prazos de renova\u00e7\u00f5es a vencer, incluindo carteira de motorista (CNH).\n\n. Acompanhe : Minist\u00e9rio da Infraestrutura"	53058	33	7491
211857482296579_1821712267977751	2020-03-19T16:12:40+0000	"- O Governo publica portaria determinando fechamento de fronteiras do Brasil com pa\u00edses vizinhos da Am\u00e9rica do Sul: Argentina; Bol\u00edvia; Col\u00f4mbia; Guiana; Guiana Francesa; Peru e Paraguai. Mais a\u00e7\u00f5es a caminho pensando tamb\u00e9m no inevit\u00e1vel impacto financeiro das fam\u00edlias envolvidas.\n\nGOVBR"	116720	57	12982
211857482296579_1821591271323184	2020-03-19T15:03:27+0000	"- Petrobras reduz pre\u00e7o dos combust\u00edveis:\n\n- Nesta data a Petrobras reduziu, nas refinarias, o pre\u00e7o da gasolina em 7,5%, do \u00f3leo diesel em 12% e do g\u00e1s em 5%.\n\n- Com isso, no acumulado do ano, a redu\u00e7\u00e3o do diesel \u00e9 de 29,1%, da gasolina 30,1% e do g\u00e1s 7,9%."	136425	182	31052
211857482296579_1821573884658256	2020-03-19T14:51:31+0000	"- A Uni\u00e3o das Ind\u00fastrias de Cana de a\u00e7\u00facar (\u00daNICA) anuncia a doa\u00e7\u00e3o de \u00e1lcool que se fizer necess\u00e1rio para a produ\u00e7\u00e3o de insumos no combate ao coronavirus. Al\u00e9m disto, o governo zera os impostos de importa\u00e7\u00e3o de 67 produtos, que v\u00e3o de m\u00e1scaras cirurgicas a alcool em gel e autoriza a facilita\u00e7\u00e3o de produ\u00e7\u00e3o destes nas farm\u00e1cias de manipula\u00e7\u00e3o. Mais detalhes na explana\u00e7\u00e3o do Presidente da Anvisa.\n\n- Lembrando que a principal e b\u00e1sica medida inicial de preven\u00e7\u00e3o \u00e9 sempre que poss\u00edvel, lavar as m\u00e3os com \u00e1gua e sab\u00e3o.\n\n. Link no youtube: https://youtu.be/4hY4AqpbTCY"	39823	16	7806
211857482296579_1821472074668437	2020-03-19T13:32:16+0000	"- Anvisa aprova registros de oito empresas para testes r\u00e1pidos para o coronav\u00edrus.\n\n- As novas credenciadas est\u00e3o permitidas, dentro das regras sanit\u00e1rias, a produzir mais kits de identifica\u00e7\u00e3o para a popula\u00e7\u00e3o.\n\n. Anvisa"	54441	13	6399
211857482296579_1821398298009148	2020-03-19T12:27:24+0000	"- Fechamento de fronteiras e MP da avia\u00e7\u00e3o, ap\u00f3s coletiva interministerial sobre a\u00e7\u00f5es de combate ao coronavirus: https://t.co/kF3DypPcK5\n\n- Exposi\u00e7\u00e3o das atitudes tomadas pelo time de Ministros. https://t.co/b1jktNZNV7"	64795	61	6533
211857482296579_1821348991347412	2020-03-19T11:48:24+0000	"- A uni\u00e3o entre os tr\u00eas poderes - Executivo, Legislativo e Judici\u00e1rio - \u00e9 primordial para que o Brasil atravesse pela crise causada pelo coronav\u00edrus. \n\n- O Brasil tem pressa!"	42221	43	3424
211857482296579_1820568708092107	2020-03-19T00:42:50+0000	"Nunca abandonarei o povo brasileiro, para o qual devo lealdade absoluta! Boa noite a todos!"	411630	357	20671
211857482296579_1820420414773603	2020-03-18T22:10:34+0000	"Compartilhem\nhttps://www.facebook.com/secomvc/videos/1619676564873109/"	22013	54	3265
211857482296579_1820091434806501	2020-03-18T17:47:39+0000	"Compartilhem\nhttps://m.facebook.com/story.php?story_fbid=235927607801919&id=133851273405916\n\n.Acompanhe pelo youtube: https://youtu.be/lhltNqinvm4"	25955	81	5698
211857482296579_1820088341473477	2020-03-18T17:46:30+0000	"- O Governo Federal prorrogou o prazo para inscri\u00e7\u00f5es no Programa Mais M\u00e9dicos. Os profissionais trabalhar\u00e3o nas capitais e cidades de todo o Brasil. Neste momento ser\u00e3o mais 5.000 m\u00e9dicos contratados para o combate ao coronavirus."	22562	27	3162
211857482296579_1819973901484921	2020-03-18T17:05:36+0000	"- O jornal Hoje (TV Globo) e Veja on line, divulgam, de forma ostensiva, PANELA\u00c7O hoje \u00e0s 20h30 contra o Presidente Jair Bolsonaro.\n- Mas a mesma imprensa, que se diz imparcial, N\u00c3O DIVULGA outro PANELA\u00c7O,  \u00e0s 21h A FAVOR DO GOVERNO JAIR BOLSONARO."	100965	857	14521
211857482296579_1819888148160163	2020-03-18T17:01:40+0000	"- A vacina contra o covid19 foi testada em humanos pela primeira vez. Os testes aconteceram nos EUA"	72008	30	20938
211857482296579_1819932834822361	2020-03-18T16:35:13+0000	"- O Ministro Marcos Pontes trabalha na amplia\u00e7\u00e3o da velocidade de banda larga para o enfrentamento do coronav\u00edrus. Entenda:\n\nMinist\u00e9rio da Ci\u00eancia, Tecnologia, Inova\u00e7\u00f5es e Comunica\u00e7\u00f5es"	28031	14	4024
211857482296579_1819847714830873	2020-03-18T15:22:33+0000	"- Crise vivemos e superamos.\n- Confio e sou leal ao povo.\n- Reflex\u00e3o e verdade acima de tudo."	63417	74	24342
211857482296579_1819789698170008	2020-03-18T14:36:00+0000	"- O ministro Paulo Guedes trabalha na desonera\u00e7\u00e3o de produtos m\u00e9dicos e hospitalares para conter a disparada de pre\u00e7os dos itens de combate ao coronavirus, causada pela alta demanda produzida pela epidemia. Na pr\u00e1tica, reduzir a zero os impostos sobre 67 produtos, que v\u00e3o da m\u00e1scara cir\u00fargica ao \u00e1lcool em gel.\n\n- O Gabinete interministerial estuda c\u00e1lculos para liberar mais saques do FGTS  e retardar o recolhimento de impostos sobre a folha de pagamentos para dar f\u00f4lego a empresas. O governo ainda anunciou antecipa\u00e7\u00e3o para abril o pagamento de metade do 13\u00ba sal\u00e1rio de aposentados e pensionistas do INSS, que normalmente acontece em agosto e suspens\u00e3o por 120 dias a prova de vida para segurados do INSS."	84120	36	16195
211857482296579_1819534424862202	2020-03-18T10:36:26+0000	"- Considerando a incapacidade do regime ditatorial venezuelano de responder \u00e0 epidemia do Covid-19, o governo brasileiro adotar\u00e1 medidas restritivas na fronteira com a Venezuela, de modo a garantir a seguran\u00e7a e a sa\u00fade do nosso povo, em especial da regi\u00e3o Norte do pa\u00eds.\n\n- As medidas restritivas atendem \u00e0 declara\u00e7\u00e3o de emerg\u00eancia da OMS, bem como as recomenda\u00e7\u00f5es da Ag\u00eancia Nacional de Vigil\u00e2ncia Sanit\u00e1ria, e ter\u00e3o prazo de 15 dias, podendo ser prorrogadas conforme recomenda\u00e7\u00e3o t\u00e9cnica da Anvisa. Servi\u00e7os essenciais como transporte de cargas est\u00e3o mantidos."	79454	135	7238
211857482296579_1818929858255992	2020-03-18T00:45:57+0000	"- Informo que meu 2\u00b0 teste para COVID-19 deu NEGATIVO.\n- Boa noite a todos."	388893	255	67725
211857482296579_1807043002763728	2020-03-17T20:30:08+0000	"- Superar este desafio depende cada um de n\u00f3s. O caos s\u00f3 interessa aos que querem o pior para o Brasil. Se, com serenidade, popula\u00e7\u00e3o e Governo, junto com os demais poderes, somarmos os esfor\u00e7os necess\u00e1rios para proteger nosso povo, venceremos n\u00e3o s\u00f3 este mal como qualquer outro!\n\n- N\u00f3s somos acostumados a superar as adversidades. Na tempestade, ajudamos uns aos outros. Somos uma na\u00e7\u00e3o de irm\u00e3os. Nenhum v\u00edrus \u00e9 mais forte do que o nosso povo. Estamos lutando e faremos o que for necess\u00e1rio para proteger a vida de cada brasileiro!\n\n. Link no youtube: https://youtu.be/iNXGn72z5-w"	91446	597	13550
211857482296579_1818510568297921	2020-03-17T19:05:34+0000	"- A\u00e7\u00f5es de preven\u00e7\u00e3o contra coronavirus nos pres\u00eddios FEDERAIS. Visitas sociais est\u00e3o suspensas por 15 dias e as de advogados por 5 dias. Outras medidas sob responsabilidade do Poder Executivo Federal tamb\u00e9m est\u00e3o sendo tomadas pelo Minist\u00e9rio da Justi\u00e7a e Seguran\u00e7a P\u00fablica"	43753	27	3157
211857482296579_1818227324992912	2020-03-17T15:22:46+0000	"Todos juntos! Com a uni\u00e3o dos Poderes Executivos, Legislativo, Judici\u00e1rio e popula\u00e7\u00e3o brasileira, venceremos! O Governo Federal libera mais R$ 432 milh\u00f5es aos estados para refor\u00e7ar as a\u00e7\u00f5es contra o Covid19. Veja no portal Sa\u00fade como os gestores podem usar esse recurso para proteger a sa\u00fade dos brasileiros https://t.co/dRU3e4nEjY"	79495	97	10468
211857482296579_1818111105004534	2020-03-17T13:52:01+0000	"- Assim como exposto em postagens anteriores, seguem mais detalhes sobre a\u00e7\u00f5es do Governo diante do coronavirus: \n\n- Para a popula\u00e7\u00e3o mais vulner\u00e1vel ser\u00e3o destinados R$ 83,4 bilh\u00f5es.\n\nOs recursos ser\u00e3o para:\n\n1) R$ 23 bilh\u00f5es - Antecipa\u00e7\u00e3o da segunda parcela do 13\u00ba de aposentados e pensionistas do INSS para maio\n\n2) R$ 21,5 bilh\u00f5es - Valores n\u00e3o sacados do Pis/Pasep ser\u00e3o transferidos para o FGTS para permitir novos saques\n\n3) R$ 12,8 bilh\u00f5es - Antecipa\u00e7\u00e3o do Abono Salarial para junho\n\n4) R$ 3,1 bilh\u00f5es - Refor\u00e7o ao programa Bolsa Fam\u00edlia: destina\u00e7\u00e3o de recursos para possibilitar a amplia\u00e7\u00e3o do n\u00famero de benefici\u00e1rios \u2013 inclus\u00e3o de mais de 1 milh\u00e3o de pessoas\n\n5) R$ 23 bilh\u00f5es - Antecipa\u00e7\u00e3o da primeira parcela do 13\u00ba de aposentados e pensionistas do INSS para abril\n\n6) Redu\u00e7\u00e3o do teto de juros do consignado, aumento da margem e do prazo de pagamento\n\nFonte: Minist\u00e9rio da Economia"	55902	58	11856
