collection_started: 2020-04-04--13-21-17
already_collected: 904277726319518_2566597636754177
already_collected: 904277726319518_2563805487033392
already_collected: 904277726319518_2561677157246225
already_collected: 904277726319518_2553894781357796
already_collected: 904277726319518_2552857851461489
already_collected: 904277726319518_2552705564810051
already_collected: 904277726319518_2551994071547867
already_collected: 904277726319518_2550013698412571
already_collected: 904277726319518_2547911145289493
already_collected: 904277726319518_2546010512146223
already_collected: 904277726319518_2544204315660176
already_collected: 904277726319518_2541086802638594
already_collected: 904277726319518_2468844493181930
already_collected: 904277726319518_2535570366523571
already_collected: 904277726319518_2535212403226034
already_collected: 904277726319518_2532174780196463
already_collected: 904277726319518_2528302380583703
already_collected: 904277726319518_519976838813539
already_collected: 904277726319518_1155583484638438
already_collected: 904277726319518_2522330111180930
already_collected: 904277726319518_2514549408625667
already_collected: 904277726319518_2513641305383144
already_collected: 904277726319518_2511805992233342
already_collected: 904277726319518_2511796972234244
already_collected: 904277726319518_2509991815748093
already_collected: 904277726319518_2509349005812374
already_collected: 904277726319518_2507465186000756
already_collected: 904277726319518_2507464176000857
already_collected: 904277726319518_2507170456030229
already_collected: 904277726319518_2505003539580254
already_collected: 904277726319518_2502188139861794
already_collected: 904277726319518_2500488280031780
already_collected: 904277726319518_2499918906755384
already_collected: 904277726319518_2498506450229963
already_collected: 904277726319518_1420532878113136
already_collected: 904277726319518_1116687741868590
already_collected: 904277726319518_2286183585028297
already_collected: 904277726319518_955720028104754
already_collected: 904277726319518_2497469913666950
already_collected: 904277726319518_2497061973707744
already_collected: 904277726319518_2496957017051573
already_collected: 904277726319518_225851745031351
already_collected: 904277726319518_2690551794297340
already_collected: 904277726319518_2494983087248966
already_collected: 904277726319518_2494633173950624
already_collected: 904277726319518_2494210833992858
already_collected: 904277726319518_2492532414160700
already_collected: 904277726319518_2490887197658555
already_collected: 904277726319518_2489942034419738
already_collected: 904277726319518_2489687494445192
already_collected: 904277726319518_2485584568188818
already_collected: 904277726319518_2482664048480870
already_collected: 904277726319518_2482633638483911
already_collected: 904277726319518_2479319275482014
already_collected: 904277726319518_2478968572183751
already_collected: 904277726319518_2478959995517942
already_collected: 904277726319518_2478478575566084
already_collected: 904277726319518_2477712085642733
already_collected: 904277726319518_2477668592313749
already_collected: 904277726319518_2477009942379614
already_collected: 904277726319518_2476676562412952
already_collected: 904277726319518_2473151462765462
already_collected: 904277726319518_2468192773261331
already_collected: 904277726319518_2465544833526125
already_collected: 904277726319518_2462943507119591
already_collected: 904277726319518_2461964213884187
already_collected: 904277726319518_2461293433951265
already_collected: 904277726319518_2461142563966352
already_collected: 904277726319518_2461124330634842
already_collected: 904277726319518_2460003377413604
already_collected: 904277726319518_2457887567625185
already_collected: 904277726319518_2456515281095747
already_collected: 904277726319518_2454811341266141
already_collected: 904277726319518_2454501277963814
already_collected: 904277726319518_2453566564723952
already_collected: 904277726319518_2453275581419717
already_collected: 904277726319518_2451405461606729
already_collected: 904277726319518_2451178084962800
already_collected: 904277726319518_2449191971828078
already_collected: 904277726319518_2447927881954487
already_collected: 904277726319518_2447492071998068
already_collected: 904277726319518_2445952702152005
already_collected: 904277726319518_2442504905830118
already_collected: 904277726319518_2441444642602811
already_collected: 904277726319518_2441399455940663
already_collected: 904277726319518_2440826889331253
already_collected: 904277726319518_2440567902690485
already_collected: 904277726319518_2438813066199302
already_collected: 904277726319518_2437501772997098
already_collected: 904277726319518_2437137086366900
already_collected: 904277726319518_2437131846367424
already_collected: 904277726319518_2436989389715003
already_collected: 904277726319518_2435869493160326
already_collected: 904277726319518_2435389269875015
already_collected: 904277726319518_2432130196867589
already_collected: 904277726319518_2429218397158769
already_collected: 904277726319518_2428500103897265
already_collected: 904277726319518_2427524663994809
already_collected: 904277726319518_2426799717400637
already_collected: 904277726319518_2425095030904439
already_collected: 904277726319518_2424969397583669
already_collected: 904277726319518_724823194626731
already_collected: 904277726319518_2422121287868480
already_collected: 904277726319518_2419825791431363
already_collected: 904277726319518_2415103771903565
already_collected: 904277726319518_2413727228707886
already_collected: 904277726319518_2413253742088568
already_collected: 904277726319518_2410920948988514
already_collected: 904277726319518_2408311115916164
already_collected: 904277726319518_2408309849249624
already_collected: 904277726319518_2407507749329834
already_collected: 904277726319518_2407502299330379
already_collected: 904277726319518_2402313549849254
already_collected: 904277726319518_2401497183264224
already_collected: 904277726319518_2398299870250622
already_collected: 904277726319518_2390228854391057
already_collected: 904277726319518_2389375404476402
already_collected: 904277726319518_2389359974477945
already_collected: 904277726319518_2387050794708863
already_collected: 904277726319518_2383476388399637
already_collected: 904277726319518_2376959065718036
already_collected: 904277726319518_2374022239345052
already_collected: 904277726319518_2368306449916631
already_collected: 904277726319518_2364616706952272
already_collected: 904277726319518_2363786603701949
already_collected: 904277726319518_2359476620799614
already_collected: 904277726319518_2358531544227455
already_collected: 904277726319518_2357621004318509
already_collected: 904277726319518_2355380427875900
already_collected: 904277726319518_2354354017978541
already_collected: 904277726319518_631562860652450
already_collected: 904277726319518_2352561621491114
already_collected: 904277726319518_2348991221848154
already_collected: 904277726319518_2346119892135287
already_collected: 904277726319518_2345102095570400
already_collected: 904277726319518_2343631602384116
already_collected: 904277726319518_2342388239175119
already_collected: 904277726319518_2341806245899985
already_collected: 904277726319518_2341770672570209
already_collected: 904277726319518_2341761049237838
already_collected: 904277726319518_2340736806006929
already_collected: 904277726319518_2340458916034718
already_collected: 904277726319518_2340039429410000
already_collected: 904277726319518_2339142996166310
already_collected: 904277726319518_2337480679665875
already_collected: 904277726319518_2337318676348742
already_collected: 904277726319518_2336698823077394
already_collected: 904277726319518_2335839489829994
already_collected: 904277726319518_2335612776519332
already_collected: 904277726319518_2334213183325958
already_collected: 904277726319518_2334185409995402
already_collected: 904277726319518_2334139330000010
already_collected: 904277726319518_2333797386700871
already_collected: 904277726319518_2333285796752030
already_collected: 904277726319518_2332803243466952
already_collected: 904277726319518_2332550700158873
already_collected: 904277726319518_2332131083534168
already_collected: 904277726319518_2330851343662142
already_collected: 904277726319518_2329143623832914
already_collected: 904277726319518_2328712190542724
already_collected: 904277726319518_2328614513885825
already_collected: 904277726319518_1269578226537845
already_collected: 904277726319518_533992290465988
already_collected: 904277726319518_2328097347270875
already_collected: 904277726319518_387079452015929
already_collected: 904277726319518_475435526540967
already_collected: 904277726319518_2327075474039729
already_collected: 904277726319518_2326979147382695
already_collected: 904277726319518_2326825770731366
already_collected: 904277726319518_604837279999531
already_collected: 904277726319518_1018702198321908
already_collected: 904277726319518_680519205730346
already_collected: 904277726319518_2325731017507508
already_collected: 904277726319518_2325682617512348
already_collected: 904277726319518_687076425076434
already_collected: 904277726319518_447384229357867
already_collected: 904277726319518_2325346614212615
already_collected: 904277726319518_2325250310888912
already_collected: 904277726319518_1251104331738614
already_collected: 904277726319518_323500748329751
already_collected: 904277726319518_384438528835713
already_collected: 904277726319518_303119583951503
already_collected: 904277726319518_2531758786858490
already_collected: 904277726319518_2323704771043466
already_collected: 904277726319518_2322274087853201
already_collected: 904277726319518_2321581751255768
already_collected: 904277726319518_2318621348218475
already_collected: 904277726319518_2316550835092193
already_collected: 904277726319518_2315313575215919
already_collected: 904277726319518_2314727108607899
already_collected: 904277726319518_2313837885363488
already_collected: 904277726319518_2313478915399385
already_collected: 904277726319518_2312463715500905
already_collected: 904277726319518_432829520827841
already_collected: 904277726319518_1454351158039246
already_collected: 904277726319518_2311613692252574
already_collected: 904277726319518_2311220712291872
already_collected: 904277726319518_2308264352587508
already_collected: 904277726319518_2308132242600719
already_collected: 904277726319518_448523642585586
already_collected: 904277726319518_2306423429438267
already_collected: 904277726319518_2305278606219416
already_collected: 904277726319518_2304576792956264
already_collected: 904277726319518_2303960853017858
already_collected: 904277726319518_2303809296366347
already_collected: 904277726319518_2303656359714974
already_collected: 904277726319518_2302995783114365
already_collected: 904277726319518_2302082286539048
already_collected: 904277726319518_2302014583212485
already_collected: 904277726319518_1035111460211722
already_collected: 904277726319518_2301178109962799
already_collected: 904277726319518_2300257743388169
already_collected: 904277726319518_2300024360078174
already_collected: 904277726319518_2299621146785162
already_collected: 904277726319518_2298065733607370
already_collected: 904277726319518_2297377747009502
already_collected: 904277726319518_2296535033760440
already_collected: 904277726319518_2295960217151255
already_collected: 904277726319518_2295629920517618
already_collected: 904277726319518_2295628550517755
already_collected: 904277726319518_2293744267372850
already_collected: 904277726319518_2293567957390481
already_collected: 904277726319518_827593587608665
already_collected: 904277726319518_2288507961229814
already_collected: 904277726319518_2287702264643717
already_collected: 904277726319518_2286906801389930
already_collected: 904277726319518_2286018791478731
already_collected: 904277726319518_2284583181622292
already_collected: 904277726319518_2284225318324745
already_collected: 904277726319518_2284007741679836
already_collected: 904277726319518_2282474828499794
already_collected: 904277726319518_2282470235166920
already_collected: 904277726319518_2282345448512732
already_collected: 904277726319518_2281400251940585
already_collected: 904277726319518_2281390071941603
already_collected: 904277726319518_2280725672008043
already_collected: 904277726319518_2280088555405088
already_collected: 904277726319518_2280026288744648
already_collected: 904277726319518_2279896205424323
already_collected: 904277726319518_2278495672231043
already_collected: 904277726319518_2277801198967157
already_collected: 904277726319518_2275220079225269
already_collected: 904277726319518_2274929405921003
already_collected: 904277726319518_2274500849297192
already_collected: 904277726319518_2273091936104750
already_collected: 904277726319518_2269534843127126
already_collected: 904277726319518_2266413253439285
already_collected: 904277726319518_2265569366857007
already_collected: 904277726319518_2263995143681096
already_collected: 904277726319518_2263640573716553
already_collected: 904277726319518_2263440810403196
already_collected: 904277726319518_2262710450476232
already_collected: 904277726319518_2262701993810411
already_collected: 904277726319518_2262700593810551
already_collected: 904277726319518_2262185507195393
already_collected: 904277726319518_2261307453949865
already_collected: 904277726319518_2259306477483296
already_collected: 904277726319518_2257668610980416
already_collected: 904277726319518_2256868664393744
already_collected: 904277726319518_2256769814403629
already_collected: 904277726319518_2256762054404405
already_collected: 904277726319518_2255271361220141
already_collected: 904277726319518_2255045671242710
already_collected: 904277726319518_2253902294690381
already_collected: 904277726319518_2253414111405866
already_collected: 904277726319518_2252248768189067
already_collected: 904277726319518_2251846551562622
already_collected: 904277726319518_2250375315043079
already_collected: 904277726319518_2250374848376459
already_collected: 904277726319518_2250229258391018
already_collected: 904277726319518_2250177555062855
already_collected: 904277726319518_2249415515139059
already_collected: 904277726319518_2249414711805806
already_collected: 904277726319518_2249225388491405
already_collected: 904277726319518_2626683184027653
already_collected: 904277726319518_2249062281841049
already_collected: 904277726319518_2248838995196711
already_collected: 904277726319518_2247318408682103
already_collected: 904277726319518_2247120742035203
already_collected: 904277726319518_2246962145384396
already_collected: 904277726319518_2246016298812314
already_collected: 904277726319518_2245343185546292
already_collected: 904277726319518_2244788862268391
already_collected: 904277726319518_2243769499036994
already_collected: 904277726319518_2243220922425185
already_collected: 904277726319518_2157802730951756
already_collected: 904277726319518_2242256452521632
already_collected: 904277726319518_2242123282534949
already_collected: 904277726319518_2241656402581637
already_collected: 904277726319518_2241338135946797
already_collected: 904277726319518_2237689116311699
already_collected: 904277726319518_2234534269960517
already_collected: 904277726319518_2233161736764437
already_collected: 904277726319518_2233030446777566
already_collected: 904277726319518_2231548160259128
already_collected: 904277726319518_2231284993618778
already_collected: 904277726319518_2228576280556316
already_collected: 904277726319518_2228383523908925
already_collected: 904277726319518_2225503914196886
already_collected: 904277726319518_2225443614202916
already_collected: 904277726319518_2224100701003874
already_collected: 904277726319518_2224017637678847
already_collected: 904277726319518_2223766134370664
already_collected: 904277726319518_325752998294736
already_collected: 904277726319518_2222917634455514
already_collected: 904277726319518_2222810357799575
already_collected: 904277726319518_2222452741168670
already_collected: 904277726319518_2220989421315002
already_collected: 904277726319518_2220158778064733
already_collected: 904277726319518_2218717868208824
already_collected: 904277726319518_2218137751600169
already_collected: 904277726319518_2215937845153493
already_collected: 904277726319518_2215553495191928
already_collected: 904277726319518_2215004191913525
already_collected: 904277726319518_2214357178644893
already_collected: 904277726319518_2213964058684205
already_collected: 904277726319518_2213444982069446
already_collected: 904277726319518_2212792532134691
already_collected: 904277726319518_2212753995471878
already_collected: 904277726319518_2212653822148562
already_collected: 904277726319518_2211531405594137
already_collected: 904277726319518_2211419375605340
already_collected: 904277726319518_2211352715612006
already_collected: 904277726319518_2211211125626165
already_collected: 904277726319518_2210634095683868
already_collected: 904277726319518_2210472255700052
already_collected: 904277726319518_2210342519046359
already_collected: 904277726319518_2209128232501121
already_collected: 904277726319518_2207652529315358
already_collected: 904277726319518_2207427489337862
already_collected: 904277726319518_2206676276079650
already_collected: 904277726319518_2206115756135702
already_collected: 904277726319518_2206048062809138
already_collected: 904277726319518_2205967069483904
already_collected: 904277726319518_2205746459505965
already_collected: 904277726319518_2205714212842523
already_collected: 904277726319518_2205095096237768
already_collected: 904277726319518_2204959519584659
22 - Rate Limit Reached. Cooling Time 20.00 minutes
total_requests: 278 -- total_comments: 356506
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 30.00 minutes
total_requests: 401 -- total_comments: 577251
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 40.00 minutes
total_requests: 589 -- total_comments: 899483
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 50.00 minutes
total_requests: 746 -- total_comments: 1189648
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 20.00 minutes
total_requests: 964 -- total_comments: 1570265
WWW-Authenticate error
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 30.00 minutes
total_requests: 1013 -- total_comments: 1656765
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 20.00 minutes
total_requests: 1240 -- total_comments: 2065013
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 30.00 minutes
total_requests: 1352 -- total_comments: 2255237
WWW-Authenticate error
WWW-Authenticate error
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 40.00 minutes
total_requests: 1613 -- total_comments: 2639332
WWW-Authenticate error
22 - Rate Limit Reached. Cooling Time 50.00 minutes
total_requests: 1967 -- total_comments: 2988105
total_requests: 2570
total_comments: 3146575
total exceeded_amount_error: 268
rate: 10.43
collection_finished: 2020-04-04--23-38-40
